Classifier_Techniques,Accuracy
J48,78.006
Random,79.36
Forest,
PART,77.102
Nave Bayes,72.068
DT,72.595
RBFN,71.965
Bayes Net,73.203
J48,73.984
Random,74.84
Forest,
PART,79.249
Nave Bayes,74.702
DT,43.075
RBFN,71.127
Bayes Net,60.632
J48,81.871
Random,81.946
Forest,
PART,77.905
Nave Bayes,76.242
DT,72.595
RBFN,75.177
Bayes Net,71.517
J48,78.927
Random,80.708
Forest,
PART,80.371
Nave Bayes,73.292
DT,72.595
RBFN,73.522
Bayes Net,71.562
J48,78.051
Random,80.132
Forest,
PART,77.989
Nave Bayes,72.618
DT,72.595
RBFN,70.723
Bayes Net,72.409
